[Cost power, gamma power, percentage from 10-fold cross-validation]

[[10.9, -9.5999999999999996, 99.25],
 [10.9, -9.5499999999999989, 99.2917],
 [10.9, -9.5, 99.2917],
 [10.9, -9.4499999999999993, 99.2917],
 [10.9, -9.4000000000000004, 99.2917],
 [10.9, -9.3499999999999996, 99.3333],
 [10.9, -9.3000000000000007, 99.3333],
 [10.9, -9.25, 99.3333],
 [10.9, -9.1999999999999993, 99.375],
 [10.9, -9.1500000000000004, 99.4167],
 [10.9, -9.0999999999999996, 99.4167],
 [10.9, -9.0500000000000007, 99.4167],
 [10.9, -9.0, 99.4167],
 [10.9, -8.9500000000000011, 99.375],
 [10.9, -8.9000000000000004, 99.4167],
 [10.942857142857143, -9.5999999999999996, 99.25],
 [10.942857142857143, -9.5499999999999989, 99.2917],
 [10.942857142857143, -9.5, 99.2917],
 [10.942857142857143, -9.4499999999999993, 99.2917],
 [10.942857142857143, -9.4000000000000004, 99.3333],
 [10.942857142857143, -9.3499999999999996, 99.3333],
 [10.942857142857143, -9.3000000000000007, 99.3333],
 [10.942857142857143, -9.25, 99.375],
 [10.942857142857143, -9.1999999999999993, 99.375],
 [10.942857142857143, -9.1500000000000004, 99.4167],
 [10.942857142857143, -9.0999999999999996, 99.4167],
 [10.942857142857143, -9.0500000000000007, 99.4167],
 [10.942857142857143, -9.0, 99.375],
 [10.942857142857143, -8.9500000000000011, 99.4167],
 [10.942857142857143, -8.9000000000000004, 99.4167],
 [10.985714285714286, -9.5999999999999996, 99.2917],
 [10.985714285714286, -9.5499999999999989, 99.2917],
 [10.985714285714286, -9.5, 99.2917],
 [10.985714285714286, -9.4499999999999993, 99.3333],
 [10.985714285714286, -9.4000000000000004, 99.3333],
 [10.985714285714286, -9.3499999999999996, 99.3333],
 [10.985714285714286, -9.3000000000000007, 99.375],
 [10.985714285714286, -9.25, 99.375],
 [10.985714285714286, -9.1999999999999993, 99.4167],
 [10.985714285714286, -9.1500000000000004, 99.4167],
 [10.985714285714286, -9.0999999999999996, 99.4167],
 [10.985714285714286, -9.0500000000000007, 99.4167],
 [10.985714285714286, -9.0, 99.4167],
 [10.985714285714286, -8.9500000000000011, 99.4167],
 [10.985714285714286, -8.9000000000000004, 99.4167],
 [11.028571428571428, -9.5999999999999996, 99.2917],
 [11.028571428571428, -9.5499999999999989, 99.2917],
 [11.028571428571428, -9.5, 99.3333],
 [11.028571428571428, -9.4499999999999993, 99.3333],
 [11.028571428571428, -9.4000000000000004, 99.3333],
 [11.028571428571428, -9.3499999999999996, 99.3333],
 [11.028571428571428, -9.3000000000000007, 99.375],
 [11.028571428571428, -9.25, 99.4167],
 [11.028571428571428, -9.1999999999999993, 99.4167],
 [11.028571428571428, -9.1500000000000004, 99.4167],
 [11.028571428571428, -9.0999999999999996, 99.4167],
 [11.028571428571428, -9.0500000000000007, 99.4167],
 [11.028571428571428, -9.0, 99.4167],
 [11.028571428571428, -8.9500000000000011, 99.4167],
 [11.028571428571428, -8.9000000000000004, 99.4167],
 [11.071428571428571, -9.5999999999999996, 99.2917],
 [11.071428571428571, -9.5499999999999989, 99.3333],
 [11.071428571428571, -9.5, 99.3333],
 [11.071428571428571, -9.4499999999999993, 99.3333],
 [11.071428571428571, -9.4000000000000004, 99.3333],
 [11.071428571428571, -9.3499999999999996, 99.375],
 [11.071428571428571, -9.3000000000000007, 99.4167],
 [11.071428571428571, -9.25, 99.4167],
 [11.071428571428571, -9.1999999999999993, 99.4167],
 [11.071428571428571, -9.1500000000000004, 99.4167],
 [11.071428571428571, -9.0999999999999996, 99.4167],
 [11.071428571428571, -9.0500000000000007, 99.4167],
 [11.071428571428571, -9.0, 99.4167],
 [11.071428571428571, -8.9500000000000011, 99.4167],
 [11.071428571428571, -8.9000000000000004, 99.4167],
 [11.114285714285714, -9.5999999999999996, 99.3333],
 [11.114285714285714, -9.5499999999999989, 99.3333],
 [11.114285714285714, -9.5, 99.3333],
 [11.114285714285714, -9.4499999999999993, 99.3333],
 [11.114285714285714, -9.4000000000000004, 99.3333],
 [11.114285714285714, -9.3499999999999996, 99.375],
 [11.114285714285714, -9.3000000000000007, 99.4167],
 [11.114285714285714, -9.25, 99.4167],
 [11.114285714285714, -9.1999999999999993, 99.4167],
 [11.114285714285714, -9.1500000000000004, 99.4583],
 [11.114285714285714, -9.0999999999999996, 99.4167],
 [11.114285714285714, -9.0500000000000007, 99.4167],
 [11.114285714285714, -9.0, 99.4167],
 [11.114285714285714, -8.9500000000000011, 99.4167],
 [11.114285714285714, -8.9000000000000004, 99.4167],
 [11.157142857142857, -9.5999999999999996, 99.3333],
 [11.157142857142857, -9.5499999999999989, 99.3333],
 [11.157142857142857, -9.5, 99.3333],
 [11.157142857142857, -9.4499999999999993, 99.3333],
 [11.157142857142857, -9.4000000000000004, 99.375],
 [11.157142857142857, -9.3499999999999996, 99.4167],
